Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
Abrdn Japan Equity Fund Inc,JEQ,Financial Services,4.518116,6.77,5.27,101088,87283768
Nuveen Floating Rate Income Fund,JFR,Financial Services,8.145834,9.24,7.12,1164011,1048317952
Nuveen Global High Income Fund,JGH,Financial Services,6.914912,13.48,10.51,59770,274061184
Janus Henderson Group plc,JHG,Financial Services,11.49125,46.68,28.26,1404855,4634978304
John Hancock Investors Trust,JHI,Financial Services,5.3754854,14.48,11.61,22518,111404688
John Hancock Income Securities Trust,JHS,Financial Services,6.6967483,11.87,10.62,16268,127130792
James Hardie Industries plc,JHX,Basic Materials,21.821783,43.57,19.72,1536947,9473211392
"J.Jill, Inc.",JILL,Consumer Cyclical,5.591954,40.61,14.37,117096,223055392
"JinkoSolar Holding Co., Ltd.",JKS,Technology,,37.36,13.42,880342,791441536
Jones Lang LaSalle Incorporated,JLL,Real Estate,17.964571,288.5,175.12,387393,9636688896
Nuveen Mortgage and Income Fund,JLS,Financial Services,7.2623677,19.25,16.8,22680,97444584
Jumia Technologies AG,JMIA,Consumer Cyclical,,15.04,1.6,3420432,256559984
Nuveen Multi-Market Income Fund,JMM,Financial Services,19.849998,6.47,5.68,6108,56348292
Johnson & Johnson,JNJ,Healthcare,17.406006,169.99,140.68,10174726,3.77093E+11
"Juniper Networks, Inc.",JNPR,Technology,39.430233,39.79,33.42,3978372,11335332864
"Joby Aviation, Inc.",JOBY,Industrials,,10.72,4.5,11968150,4478739968
The St. Joe Company,JOE,Real Estate,31.996061,64.69,40.19,256675,2365863168
"Japan Smaller Capitalization Fund, Inc.",JOF,Financial Services,6.281278,8.54,6.89,76755,236704240
Nuveen Preferred & Income Opportunities Fund,JPC,Financial Services,8.647882,8.24,6.79,1134704,2364720128
Nuveen Preferred Securities & Income Opportunities Fund,JPI,Financial Services,9.296651,21.42,17.2,41629,273961056
JPMorgan Chase & Co.,JPM,Financial Services,11.175822,280.25,185.98,11415898,6.33287E+11
Nuveen Credit Strategies Income Fund,JQC,Financial Services,8.391666,5.94,4.6,1058636,685766976
Nuveen Real Asset Income and Growth Fund,JRI,Financial Services,13.17742,13.72,10.59,130206,335991648
Nuveen Real Estate Income Fund,JRS,Financial Services,8.530796,9.69,6.56,82211,216898896
"Nordstrom, Inc.",JWN,Consumer Cyclical,13.689655,24.99,18.52,2876822,3983537920
Jackson Financial Inc.,JXN,Financial Services,5.972743,115.22,64.701,984116,5055217664
Kellanova,K,Consumer Defensive,21.194431,83.22,55.96,2623145,28388630528
Kadant Inc.,KAI,Industrials,30.030624,429.95,249.51,175921,3348948480
"OPENLANE, Inc.",KAR,Consumer Cyclical,40.577778,22.47,15.44,853059,1952194944
KB Financial Group Inc.,KB,Financial Services,6.4612794,72.89,46.38,181272,21846663168
"Kayne Anderson BDC, Inc.",KBDC,,7.5531406,17.99,13.93,159773,1111018368
KB Home,KBH,Consumer Cyclical,6.1919317,89.7,48.9,1511965,3633302016
"KBR, Inc.",KBR,Industrials,17.777777,72.6,43.89,1741229,6434855936
"Kyndryl Holdings, Inc.",KD,Technology,49.206898,43.61,19.235,2503481,6641086976
Kenon Holdings Ltd.,KEN,Utilities,91.51613,35.49,21.17,18532,1479501184
Korea Electric Power Corporation,KEP,Utilities,4.6552634,9.43,6.68,173414,11356360704
Kirby Corporation,KEX,Industrials,18.861507,132.21,83.94,638529,5269231104
KeyCorp,KEY,Financial Services,,20.04,12.73,15369150,15300982784
"Keysight Technologies, Inc.",KEYS,Technology,37.27794,186.2,119.72,1141052,22482712576
"The Korea Fund, Inc.",KF,Financial Services,,26.3,18.15,11711,83818496
Kforce Inc.,KFRC,Industrials,16.11194,71.48,42.11,143695,825217280
Kingsway Financial Services Inc.,KFS,Consumer Cyclical,,9.58,7.06,55354,217268512
Korn Ferry,KFY,Industrials,12.8577585,80.64,59.44,442803,3081194496
Kinross Gold Corporation,KGC,Basic Materials,19.214287,15.455,6.34,21978929,18204358656
"Kodiak Gas Services, Inc.",KGS,Energy,58.357143,50.43,24.835,1225477,2873706240
Kimco Realty Corporation,KIM,Real Estate,36.390907,25.83,17.93,5384873,13600172032
"Nextdoor Holdings, Inc.",KIND,Communication Services,,2.995,1.35,2243716,538891328
KKR Income Opportunities Fund,KIO,Financial Services,4.6557374,15.09,10.69,277439,472389696
KKR & Co. Inc.,KKR,Financial Services,29.695122,170.4,86.15,6624091,89882574848
,KKRS,,,21,16.41,25288,
"KinderCare Learning Companies, Inc.",KLC,Consumer Defensive,,29.89,10.31,706522,1279185024
WK Kellogg Co,KLG,Consumer Defensive,22.591463,24.629,15.17,1033000,1596799360
Kimberly-Clark Corporation,KMB,Consumer Defensive,18.577482,150.45,124.1,2239172,46517506048
"Kinder Morgan, Inc.",KMI,Energy,22.05931,31.48,18.13,15165922,56859594752
,KMPB,,,23.94,20.69,20957,
Kemper Corporation,KMPR,Financial Services,11.034624,73.01,53.57,451634,3468771584
Kennametal Inc.,KMT,Industrials,14.950819,32.18,17.3,1088393,1411051904
"CarMax, Inc.",KMX,Consumer Cyclical,19.371403,91.25,61.785,2715204,9494226944
Knowles Corporation,KN,Technology,54.538464,20.86,12.19,888301,1243439872
Knife River Corporation,KNF,Basic Materials,24.247889,108.83,66.13,477262,4876638720
KNOT Offshore Partners LP,KNOP,Energy,30.333334,9.11,4.97,80532,222553776
"Kinsale Capital Group, Inc.",KNSL,Financial Services,26.632732,531.79,355.125,191231,11036848128
Kinetik Holdings Inc.,KNTK,Energy,39.705883,67.6,37.65,918280,2467341056
Knight-Swift Transportation Holdings Inc.,KNX,Industrials,52.520546,61.51,36.69,3160649,6211118080
The Coca-Cola Company,KO,Consumer Defensive,29.365852,73.95,59.72,19163418,3.1089E+11
Eastman Kodak Company,KODK,Industrials,6.5166664,8.24,4.26,1132670,473690240
"Coca-Cola FEMSA, S.A.B. de C.V.",KOF,Consumer Defensive,17.026737,102.28,72.68,204449,20067127296
Koppers Holdings Inc.,KOP,Basic Materials,9.845528,54.07,22.99,166393,487768992
"KORE Group Holdings, Inc.",KORE,Communication Services,,4.88,1.1,26116,40835464
Kosmos Energy Ltd.,KOS,Energy,4.5375,6.33,1.39,10488355,867397568
The Kroger Co.,KR,Consumer Defensive,19.482288,72.18,49.04,7042227,47253921792
Kilroy Realty Corporation,KRC,Real Estate,17.624294,43.78,27.07,1766545,3725275648
KKR Real Estate Finance Trust Inc.,KREF,Real Estate,46.368423,12.95,8.28,530231,605366848
Kite Realty Group Trust,KRG,Real Estate,1051.5,28.24,18.52,2100670,4724641792
Karman Holdings Inc.,KRMN,Industrials,316.75,38.58,25.025,1300893,4186642944
"Kronos Worldwide, Inc.",KRO,Basic Materials,9.213333,14.5,6.19,195424,794898752
"Kimbell Royalty Partners, LP",KRP,Energy,,17.07,10.98,972542,1308222592
Kohl's Corporation,KSS,Consumer Cyclical,7.107143,28.25,6.04,11522327,775371648
KT Corporation,KT,Communication Services,26.805967,18.74,12.39,1478480,8779673600
"Kontoor Brands, Inc.",KTB,Consumer Cyclical,12.970183,96.8,50.001,824873,3128685312
DWS Municipal Income Trust,KTF,Financial Services,9.943821,10.22,8.75,107655,346679296
Corts Trust Peco Energy Capital Trust III,KTH,,,31.71,27.4,1396,
Credit-Enhanced Corts Trust Aon,KTN,,,28.2,25.83,3859,
Kuke Music Holding Limited,KUKE,Communication Services,,4.54,0.145,297742,30783486
Kenvue Inc.,KVUE,Consumer Defensive,40.98148,24.46,17.67,16773421,42460610560
"Klaviyo, Inc.",KVYO,Technology,,49.55,21.26,1647232,6759596544
"Kennedy-Wilson Holdings, Inc.",KW,Real Estate,,11.88,6.34,725286,889461568
Quaker Chemical Corporation,KWR,Basic Materials,15.162319,197.03,95.91,166165,1744236288
"Kayne Anderson Energy Infrastructure Fund, Inc.",KYN,Financial Services,2.050909,13.69,9.4,501395,1907741184
Loews Corporation,L,Financial Services,12.909516,92.42,73.15,815685,17405800448
Lithium Americas Corp.,LAC,Basic Materials,,5.2,2.02,4485180,575692288
"Lithia Motors, Inc.",LAD,Consumer Cyclical,9.470027,405.68,243,389326,7379418112
Ladder Capital Corp,LADR,Real Estate,11.616279,12.48,9.68,601834,1269788928
Lanvin Group Holdings Limited,LANV,Consumer Cyclical,,2.66,0.912,58150,258104000
Lithium Argentina AG,LAR,Basic Materials,,5.6,1.73,987059,314148096
"CS Disco, Inc.",LAW,Technology,,8.2,3.31,116409,200170976
"Lazard, Inc.",LAZ,Financial Services,12.652985,61.14,31.97,1284327,3048481792
LandBridge Company LLC,LB,Energy,,84.7,18.75,674232,4945796096
Liberty Energy Inc.,LBRT,Energy,7.460265,24.75,9.5,3750626,1828715136
LendingClub Corporation,LC,Financial Services,20.322224,18.75,7.48,1836608,1036896704
LCI Industries,LCII,Consumer Cyclical,13.535715,129.38,72.31,447919,1912926720
"loanDepot, Inc.",LDI,Financial Services,,3.225,1.01,1074731,355313216
"Leidos Holdings, Inc.",LDOS,Technology,14.9295,202.9,123.62,1753891,17648656384
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,,6.5665526,21.87,18.38,80145,559483776
Lear Corporation,LEA,Consumer Cyclical,8.670011,138.69,73.85,796177,4163852288
"Leggett & Platt, Incorporated",LEG,Consumer Cyclical,,18.49,6.48,2671736,915656000
Lennar Corporation,LEN,Consumer Cyclical,7.4952555,187.6089,98.42,3414696,26929655808
,LEN.B,,,,,,
"BNY Mellon Strategic Municipals, Inc.",LEO,Financial Services,4.855932,6.64,5.55,188236,356926848
Levi Strauss & Co.,LEVI,Consumer Cyclical,16.594446,24.34,12.17,2719932,5904223744
"Lument Finance Trust, Inc.",LFT,Real Estate,7.628529,2.84,2.22,103106,135674368
,LGF.A,,,,,,
,LGF.B,,,,,,
"Lazard Global Total Return and Income Fund, Inc.",LGI,Financial Services,11.940171,18.23,13.35,77034,181790224
Labcorp Holdings Inc.,LH,Healthcare,23.7599,258.59,191.97,711480,17573543936
"L3Harris Technologies, Inc.",LHX,Industrials,26.974289,265.74,193.09,1466177,39900426240
Lennox International Inc.,LII,Industrials,23.986233,682.5,445.63,443104,19171766272
"LightInTheBox Holding Co., Ltd.",LITB,Consumer Cyclical,,6,0.91,47750,34663452
Eli Lilly and Company,LLY,Healthcare,70.22131,972.53,677.09,3703045,7.36517E+11
"Lemonade, Inc.",LMND,Financial Services,,53.85,14.03,2180011,1829968896
Lockheed Martin Corporation,LMT,Industrials,20.369177,618.95,418.88,1783681,1.06646E+11
Lincoln National Corporation,LNC,Financial Services,1.5779468,39.85,25.8,2161526,4958689792
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,LND,Consumer Defensive,8.12766,5.2,3.49,41485,380531232
"Cheniere Energy, Inc.",LNG,Energy,15.685785,257.65,153.03,2403691,49664126976
Lindsay Corporation,LNN,Industrials,17.411806,140.26,109.27,85622,1329991552
Loar Holdings Inc.,LOAR,Industrials,334.95834,96.99,42.57,488349,7520974336
"Live Oak Bancshares, Inc.",LOB,Financial Services,13.905325,50.57,22.68,337183,1071332096
Local Bounti Corporation,LOCL,Consumer Defensive,,5.748,1.18,32347,32433394
Loma Negra Compañía Industrial Argentina Sociedad Anónima,LOMA,Basic Materials,9.581818,13.79,5.7,399509,1267730176
"Lowe's Companies, Inc.",LOW,Consumer Cyclical,17.262684,287.01,206.39,2704440,1.1807E+11
Dorian LPG Ltd.,LPG,Energy,5.2051277,51.659,16.66,842668,868931328
"LG Display Co., Ltd.",LPL,Technology,,4.86,2.43,231401,2858145536
Louisiana-Pacific Corporation,LPX,Industrials,13.843803,122.87,71.95,664150,5678666240
"Stride, Inc.",LRN,Consumer Defensive,22.4626,145,56.41,799350,5829892608
Lightspeed Commerce Inc.,LSPD,Technology,,18.96,7.34,1228386,1342424960
"LTC Properties, Inc.",LTC,Real Estate,17.333334,39.89,31.7,359378,1622596224
"Life Time Group Holdings, Inc.",LTH,Consumer Cyclical,38.60811,33.64,12.34,2415777,6220003328
,LTM,Industrials,9.287926,33.5,21.83,380660,9066569728
Lufax Holding Ltd,LU,Financial Services,,4.94,2,4031039,2418515712
Lucky Strike Entertainment Corporation,LUCK,Consumer Cyclical,Infinity,14.92,7.695,446040,1171145344
"Lumen Technologies, Inc.",LUMN,Communication Services,,10.33,0.97,14116619,3106053120
Southwest Airlines Co.,LUV,Industrials,31.388157,36.12,23.58,12655839,13690718208
Las Vegas Sands Corp.,LVS,Consumer Cyclical,16.589285,56.61,30.18,6326262,22976008192
"LiveWire Group, Inc.",LVWR,Consumer Cyclical,,9.004,1.75,35047,456165472
"Lamb Weston Holdings, Inc.",LW,Consumer Defensive,19.941175,89.51,47.9,2842726,7175748608
Luxfer Holdings PLC,LXFR,Industrials,14.0220585,15.64,9.38,143295,254985920
LXP Industrial Trust,LXP,Real Estate,57.91308,10.57,6.85,2484965,2232665856
"LSB Industries, Inc.",LXU,Basic Materials,,10.4,4.88,420601,354351104
LyondellBasell Industries N.V.,LYB,Basic Materials,13.554349,107.02,51.11,3567580,18115997696
Lloyds Banking Group plc,LYG,Financial Services,11.257575,3.91,2.5,32564360,55740973056
"Live Nation Entertainment, Inc.",LYV,Communication Services,44.951645,157.75,86.81,2694775,28465610752
La-Z-Boy Incorporated,LZB,Consumer Cyclical,12.968592,48.31,32,593429,1558181632
Lifezone Metals Limited,LZM,Basic Materials,,9.51,2.9,120363,258673616
"Macy's, Inc.",M,Consumer Cyclical,5.190821,20.7,9.76,7100173,2993277696
Mastercard Incorporated,MA,Financial Services,36.54834,582.23,428.86,3003885,4.61835E+11
"Mid-America Apartment Communities, Inc.",MAA,Real Estate,34.404236,173.38,125.55,949329,18533294080
The Macerich Company,MAC,Real Estate,,22.27,12.48,2392104,3684131584
Magnera Corporation,MAGN,Basic Materials,,26.78,13.11,525539,464802016
Main Street Capital Corporation,MAIN,Financial Services,8.820171,63.32,45,592750,4569395200
ManpowerGroup Inc.,MAN,Industrials,17.146551,78.87,39.2199,871793,1859325056
Manchester United plc,MANU,Communication Services,,18.42,12.05,291060,2333843712
Masco Corporation,MAS,Industrials,15.87234,86.7,57.27,2005336,12631391232
"Mativ Holdings, Inc.",MATV,Basic Materials,,19.96,4.34,1135426,244511440
"Matson, Inc.",MATX,Industrials,6.697775,169.12,92.895,389245,3063151104
"Pioneer Municipal High Income Advantage Fund, Inc.",MAV,Financial Services,4.6726193,9.1,7.62,52227,187728032
"MediaAlpha, Inc.",MAX,Communication Services,23.838709,25.78,7.33,570714,484894848
"MasterBrand, Inc.",MBC,Consumer Cyclical,11.395833,20.67,10.84,1101365,1396480000
MBIA Inc.,MBI,Financial Services,,7.46,3.22,402601,210800960
Moelis & Company,MC,Financial Services,27.74719,82.89,46.24,1027537,3487546368
Metropolitan Bank Holding Corp.,MCB,Financial Services,9.232716,69.56,37.1,107409,614574208
McDonald's Corporation,MCD,Consumer Cyclical,26.895521,326.32,243.53,3854195,2.19055E+11
Barings Corporate Investors,MCI,Financial Services,11.965714,25.24,16.91,50765,425052704
McKesson Corporation,MCK,Healthcare,31.163382,728.32,464.42,983044,85219794944
XAI Madison Equity Premium Income Fund,MCN,Financial Services,21.28,7.6,5.16,79181,112340848
Moody's Corporation,MCO,Financial Services,36.389874,531.93,360.05,954627,73709510656
MFS Charter Income Trust,MCR,Financial Services,8.319444,6.58,5.57,75634,250008208
The Marcus Corporation,MCS,Communication Services,,23.16,9.56,209881,503330880
Mercury General Corporation,MCY,Financial Services,6.169231,80.72,44.19,675506,2887407872
"Pediatrix Medical Group, Inc.",MD,Healthcare,,17.67,6.62,675818,1038384448
Westwood Salient Enhanced Midstream Income ETF,MDST,,18.061079,29.55,23.24,23624,
Medtronic plc,MDT,Healthcare,24.83994,96.25,75.96,7718045,1.04495E+11
"MDU Resources Group, Inc.",MDU,Industrials,18.573862,20.39,13.229917,1845775,3339790080
"Modiv Industrial, Inc.",MDV,Real Estate,61.28,18.11,13.62,40921,152687232
"Mayville Engineering Company, Inc.",MEC,Industrials,9.604838,23.02,11.79,94747,243199808
"Medifast, Inc.",MED,Consumer Cyclical,61.263683,36.3,11.5692,229998,127317080
"Montrose Environmental Group, Inc.",MEG,Industrials,,49.97,10.51,539893,490160640
NYLI CBRE Global Infrastructure Megatrends Term Fund,MEGI,,6.649484,14.96,11.4,187516,671412736
"Methode Electronics, Inc.",MEI,Technology,,17.45,5.08,422849,200760192
"MetLife, Inc.",MET,Financial Services,11.779461,89.05,65.21,3912254,47665524736
"MFA Financial, Inc.",MFA,Real Estate,10.707316,13.45,7.85,1439377,900160704
,MFAN,,,25.82,24.02,18278,
,MFAO,,,25.85,24.27,16147,
Manulife Financial Corporation,MFC,Financial Services,13.901478,33.07,22.96,2633863,48490987520
"Mizuho Financial Group, Inc.",MFG,Financial Services,9.737143,6.08,3.45,2619509,60428201984
MFS Municipal Income Trust,MFM,Financial Services,4.368509,5.78,4.94,131549,205118368
MFS Active Core Plus Bond ETF,MFSB,,,25.17,24.15,5649,
MFS Active Growth ETF,MFSG,,29.079805,26.36,19.47,29024,
MFS Active International ETF,MFSI,,19.159027,26.66,22.81,91678,
MFS Active Intermediate Muni Bond ETF,MFSM,,,25.08,23.61,9721,
MFS Active Value ETF,MFSV,,19.183641,25.5,21.75,17155,
"Mistras Group, Inc.",MG,Industrials,14.833332,12.44,7.45,151052,278621600
Magna International Inc.,MGA,Consumer Cyclical,9.044034,50.18,30.39,2030014,8969033728
MFS Government Markets Income Trust,MGF,Financial Services,15.278,3.39,2.95,39465,99582616
MGM Resorts International,MGM,Consumer Cyclical,11.937499,47.26,25.3,5941732,8181036032
,MGR,,,25.163,19.92,22740,
,MGRB,,,21,16.13,21986,
,MGRD,,,18.37,14.624,16160,
,MGRE,,,26.51,22.51,38580,
Magnolia Oil & Gas Corporation,MGY,Energy,10.35567,29.02,19.09,2991321,3898404352
"BlackRock MuniHoldings Fund, Inc.",MHD,Financial Services,49.181816,12.96,10.8,87029,564172096
Western Asset Municipal High Income Fund Inc.,MHF,Financial Services,8.428572,7.83,6.51,63465,153335104
"Pioneer Municipal High Income Fund, Inc.",MHI,Financial Services,4.2001934,9.74,8.45,48773,197982784
"Mohawk Industries, Inc.",MHK,Consumer Cyclical,12.114864,164.29,96.24,820073,6164975616
"Maiden Holdings, Ltd. 6.625 NT 2046",MHLA,,,17.93,12.25,5657,1167956096
"BlackRock MuniHoldings New York Quality Fund, Inc.",MHN,Financial Services,480.00003,11.2,9.52,73685,290319360
"Maiden Holdings North America, Ltd.",MHNC,,,19.97,14.85,5732,
"M/I Homes, Inc.",MHO,Consumer Cyclical,5.225013,176.18,100.22,305575,2757176320
MFS Intermediate Income Trust,MIN,Financial Services,10.979167,2.79,2.56,213457,299857728
"Pioneer Municipal High Income Opportunities Fund, Inc.",MIO,,4.745763,12.62,10.95,34547,189115360
"Mirion Technologies, Inc.",MIR,Industrials,,18.81,9.11,1990765,3063737344
,MITN,,,25.9,21.5,9988,
,MITP,,,25.8,24.2,11842,
"AG Mortgage Investment Trust, Inc.",MITT,Real Estate,4.9430895,7.95,5.5,239124,180325504
"BlackRock MuniYield Michigan Quality Fund, Inc.",MIY,Financial Services,68.25,12.11,10.81,52173,316295616
"McCormick & Company, Incorporated",MKC,Consumer Defensive,25.672411,86.24,66.88,2412044,19959150592
Markforged Holding Corporation,MKFG,Technology,,6.9,1.572,165047,96266080
Markel Group Inc.,MKL,Financial Services,8.6152725,2063.68,1433.06,63759,21826699264
"Mueller Industries, Inc.",MLI,Industrials,12.80791,96.81,52.22,930506,7532515840
"Martin Marietta Materials, Inc.",MLM,Basic Materials,14.886491,633.23,441.95,590277,29246916608
"MeridianLink, Inc.",MLNK,Technology,,25.33,15.572,244073,1216057728
"Maui Land & Pineapple Company, Inc.",MLP,Real Estate,,26.46,14.05,16055,277386336
"Miller Industries, Inc.",MLR,Consumer Cyclical,7.200183,78.25,37.4,134139,451324512
"Marsh & McLennan Companies, Inc.",MMC,Financial Services,26.046682,248,196.72,2269865,1.04526E+11
NYLI MacKay DefinedTerm Muni Opportunities Fund,MMD,Financial Services,13.950496,17,14,80011,264603152
"Marcus & Millichap, Inc.",MMI,Real Estate,,42.8,29.36,119465,1186523520
Texas Capital Government Money Market ETF,MMKT,,,100.54,99.82,9977,
3M Company,MMM,Industrials,17.213205,156.35,90.65,4314618,67490254848
"Maximus, Inc.",MMS,Industrials,14.357759,93.97,63.77,693500,3770718720
MFS Multimarket Income Trust,MMT,Financial Services,5.55,4.9,4.31,105045,245539552
Western Asset Managed Municipals Fund Inc.,MMU,Financial Services,11.021839,11,9.46,138508,523739648
,MNR,Energy,6.9710526,21.19,12.4,339163,1567347072
MINISO Group Holding Limited,MNSO,Consumer Cyclical,13.72807,27.71,12.51,1281324,4837586944
"Altria Group, Inc.",MO,Consumer Defensive,8.776759,60.18,42.02,10357804,96795918336
Modine Manufacturing Company,MOD,Consumer Cyclical,23.15488,146.84,64.79,1519273,3615513856
Topgolf Callaway Brands Corp.,MODG,Consumer Cyclical,,16.89,5.42,3196209,1135568768
,MOG.A,,,,,,
MOGU Inc.,MOGU,Consumer Cyclical,,3.58,1.75,20652,18523816
"Molina Healthcare, Inc.",MOH,Healthcare,14.862457,370.99,262.32,806929,16609078272
The Mosaic Company,MOS,Basic Materials,48.98182,32.29,22.36,6007434,8546177024
"Movado Group, Inc.",MOV,Consumer Cyclical,16.537037,27.8,12.85,211318,297863296
MP Materials Corp.,MP,Basic Materials,,29.72,10.02,4637498,3684800000
BlackRock MuniYield Pennsylvania Quality Fund,MPA,Financial Services,28.587027,12.82,10.26,35685,136970512
Marathon Petroleum Corporation,MPC,Energy,12.513393,201.36,115.1,3022160,39294963712
MPLX LP,MPLX,Energy,11.674584,54.87,39.84,2054908,50256367616
Barings Participation Investors,MPV,Financial Services,10.608025,17.99,15.15,37883,182545936
"Medical Properties Trust, Inc.",MPW,Real Estate,,6.55,3.51,12006247,3150927872
Marine Products Corporation,MPX,Consumer Cyclical,16.7026,12.47,7.49,32559,291973984
"BlackRock MuniYield Quality Fund II, Inc.",MQT,Financial Services,62.133327,11,9.05,67283,206481792
"BlackRock MuniYield Quality Fund, Inc.",MQY,Financial Services,56.31579,13.29,10.52,184927,768619520
MRC Global Inc.,MRC,Energy,18.535088,15.41,9.23,806822,909471104
"Merck & Co., Inc.",MRK,Healthcare,11.464392,134.63,75.93,17628988,1.94441E+11
"Millrose Properties, Inc.",MRP,Real Estate,,27.07,19,3689721,3867063296
Morgan Stanley,MS,Financial Services,12.357562,142.03,90.55,7826537,1.69394E+11
MSA Safety Incorporated,MSA,Industrials,19.743055,200.61,127.86,191847,5580894208
Mesabi Trust,MSB,Basic Materials,3.8600001,37,15.93,73678,354502400
Studio City International Holdings Limited,MSC,Consumer Cyclical,,9.3,2.3,10203,589088192
MSCI Inc.,MSCI,Financial Services,37.767426,642.45,439.95,609478,41207226368
"Morgan Stanley Emerging Markets Debt Fund, Inc.",MSD,Financial Services,9.012346,8.32,6.91,84326,147453440
Morgan Stanley Direct Lending Fund,MSDL,,7.8271604,24.18,17.59,736719,1675378688
Madison Square Garden Entertainment Corp.,MSGE,Consumer Cyclical,11.406489,44.14,28.29,360588,1429746176
Madison Square Garden Sports Corp.,MSGS,Communication Services,78.08475,237.992,173.26,141759,4424544256
"Motorola Solutions, Inc.",MSI,Technology,44.510845,507.82,332.98,912840,68520357888
"MSC Income Fund, Inc.",MSIF,Financial Services,10.7887945,18,14.01,104551,712683968
"MSC Industrial Direct Co., Inc.",MSM,Industrials,19.985527,94.31,68.1,599572,4231784448
ArcelorMittal S.A.,MT,Basic Materials,15.520709,34.9,20.52,2626031,19974668288
MAC Copper Limited,MTAL,Basic Materials,,15.26,7.69,371306,701339328
M&T Bank Corporation,MTB,Financial Services,10.48225,225.7,139.78,1424318,25439387648
Mettler-Toledo International Inc.,MTD,Healthcare,23.938082,1546.93,946.69,171272,20205189120
Matador Resources Company,MTDR,Energy,5.5098042,67.51,35.19,1745760,4925643264
MGIC Investment Corporation,MTG,Financial Services,8.074394,26.56,19.81,2442419,5659367424
Meritage Homes Corporation,MTH,Consumer Cyclical,5.9361005,106.99,59.27,984414,4570921472
"Vail Resorts, Inc.",MTN,Consumer Cyclical,19.25837,206.55,129.85,639911,4940003840
Mesa Royalty Trust,MTR,Energy,21.8,11.35,4.84,4973,10156565
Materion Corporation,MTRN,Basic Materials,280.0714,123.21,69.1,108516,1632257408
Metallus Inc.,MTUS,Basic Materials,425,24.31,10.78,383827,536876992
"The Manitowoc Company, Inc.",MTW,Industrials,4.698718,13.46,7.06,286754,259790592
Minerals Technologies Inc.,MTX,Basic Materials,10.634429,90.3,52.4,205109,1749469056
"MasTec, Inc.",MTZ,Industrials,53.507282,166.95,83.04,1280726,8714598400
"BlackRock MuniAssets Fund, Inc.",MUA,Financial Services,10.944446,12.69,9.6,142206,379011264
"BlackRock MuniHoldings California Quality Fund, Inc.",MUC,Financial Services,168.5,11.64,9.97,240267,952199232
"BlackRock MuniHoldings Quality Fund II, Inc.",MUE,Financial Services,34.333332,10.95,9.26,57896,203180800
"Mitsubishi UFJ Financial Group, Inc.",MUFG,Financial Services,10.016552,15.03,8.75,8185767,1.33759E+11
"BlackRock MuniHoldings New Jersey Quality Fund, Inc.",MUJ,Financial Services,50.857147,12.24,10.5,102632,568016896
Murphy Oil Corporation,MUR,Energy,7.5845585,46.91,18.95,3390300,2944230912
Murphy USA Inc.,MUSA,Consumer Cyclical,20.56141,561.08,382.04,264983,9808917504
TCW Multisector Credit Income ETF,MUSE,,,50.32,48,2291,
McEwen Mining Inc.,MUX,Basic Materials,,12.5,6.38,1019245,429895712
"BlackRock MuniVest Fund, Inc.",MVF,Financial Services,39.11765,7.64,6.5,107601,391058560
MV Oil Trust,MVO,Energy,3.9675326,10.31,4.63,115400,70265000
"BlackRock MuniVest Fund II, Inc.",MVT,Financial Services,42.478264,11.97,9.75,47514,203815888
"Mueller Water Products, Inc.",MWA,Industrials,27.752874,28.58,15.76,2474524,3781106944
Magnachip Semiconductor Corporation,MX,Technology,,5.98,2.51,272172,106592744
Mexico Equity & Income Fund Inc.,MXE,Financial Services,,11.33,7.96,9873,40129916
"The Mexico Fund, Inc.",MXF,Financial Services,,18.93,12.99,76196,214915856
"BlackRock MuniYield Fund, Inc.",MYD,Financial Services,57.14706,11.74,9.65,126972,444300960
"Myers Industries, Inc.",MYE,Consumer Cyclical,47.973682,23.05,9.06,355426,339953024
"BlackRock MuniYield Quality Fund III, Inc.",MYI,Financial Services,56.916664,12.07,9.98,230521,680957504
"BlackRock MuniYield New York Quality Fund, Inc.",MYN,Financial Services,315.6667,10.87,9.21,108355,362826016
MYT Netherlands Parent B.V.,MYTE,Consumer Cyclical,,12.5,3.22,220500,639739264
"N-able, Inc.",NABL,Technology,38.21875,15.485,6.105,1131224,1155472000
Nuveen California Quality Municipal Income Fund,NAC,Financial Services,13.759741,12.03,10.35,431278,1533329664
Nuveen Quality Municipal Income Fund,NAD,Financial Services,5.52,12.47,10.4,820372,2576791040
Nuveen New York Quality Municipal Income Fund,NAN,Financial Services,12.858824,11.93,10.56,73316,337040768
Nordic American Tankers Limited,NAT,Energy,11.159091,4.4,2.13,2846937,519848704
NCR Atleos Corporation,NATL,Technology,18.943089,35.5,19.91,430722,1710033536
Nuveen Arizona Quality Municipal Income Fund,NAZ,Financial Services,15.461486,13.55,10.52,22093,132690504
Nuveen Taxable Municipal Income Fund,NBB,Financial Services,5.6152415,17.31,14.52,62993,444008448
National Bank Holdings Corporation,NBHC,Financial Services,11.389611,51.76,32.69,244811,1336341120
Nabors Industries Ltd.,NBR,Energy,,105.96,25.11,445447,413386208
