Company,Ticker,Sector,PE Ratio,Avg Volume,Market Cap,52 Week Range,Cluster
"PlayAGS, Inc.",AGS,Consumer Cyclical,10.037499,445413.0,496957440.0,1.4775212636695019,0
"Argan, Inc.",AGX,Industrials,21.46179,458362.0,1799578112.0,3.1894052973513243,0
"Armada Hoffler Properties, Inc.",AHH,Real Estate,19.720589,1065845.0,679350592.0,2.0426229508196725,0
"American International Group, Inc.",AIG,Financial Services,19.550367,5305349.0,46450814976.0,1.276376811594203,4
Albany International Corp.,AIN,Consumer Cyclical,22.046429,241624.0,1888950272.0,1.6543060128227343,0
Virtus Artificial Intelligence & Technology Opportunities Fund,AIO,,4.0412316,112527.0,654666112.0,1.5880571181306795,0
"Applied Industrial Technologies, Inc.",AIT,Industrials,21.66734,353757.0,8223871488.0,1.5926384511481315,0
"Assurant, Inc.",AIZ,Financial Services,12.739972,497506.0,9370884096.0,1.4398576067949038,4
Arthur J. Gallagher & Co.,AJG,Financial Services,49.372883,1604362.0,81945165824.0,1.5098807422396348,2
Acadia Realty Trust,AKR,Real Estate,102.42105,1148963.0,2522677504.0,1.6288723667905822,0
Air Lease Corporation,AL,Industrials,12.276277,847340.0,4568708096.0,1.3675816993464054,0
Alcon Inc.,ALC,Healthcare,44.668293,1718152.0,45320736768.0,1.3038431777147277,0
"ALLETE, Inc.",ALE,Utilities,20.920969,354068.0,3759125760.0,1.1184745762711863,0
"Alexander & Baldwin, Inc.",ALEX,Real Estate,18.943182,492850.0,1212099072.0,1.2929936305732486,0
Alamo Group Inc.,ALG,Industrials,16.78193,116885.0,1953719424.0,1.32845228242185,0
"Alaska Air Group, Inc.",ALK,Industrials,14.210812,3564273.0,5372768768.0,2.393623543838136,0
The Allstate Corporation,ALL,Financial Services,11.034138,1971485.0,49684422656.0,1.3590578322481808,4
Allegion plc,ALLE,Industrials,17.941349,1086001.0,10558493696.0,1.3781230687737265,0
Ally Financial Inc.,ALLY,Financial Services,54.098213,4518800.0,9305169920.0,1.5399728997289974,4
"Allison Transmission Holdings, Inc.",ALSN,Consumer Cyclical,10.306859,834563.0,7299633152.0,1.7139460064344665,0
"Autoliv, Inc.",ALV,Consumer Cyclical,9.848153,1008624.0,6592974336.0,1.7138693866737316,0
"Alexander's, Inc.",ALX,Real Estate,23.304964,15826.0,1006953344.0,1.361928988958649,0
Antero Midstream Corporation,AM,Energy,19.987953,3874380.0,7940073984.0,1.4092987804878048,0
Amcor plc,AMCR,Consumer Cyclical,16.845455,28344978.0,13391076352.0,1.3715651135005975,5
"AMETEK, Inc.",AME,Industrials,26.070827,1466973.0,35673489408.0,1.3676044683491932,0
"Affiliated Managers Group, Inc.",AMG,Financial Services,10.11269,240940.0,4404080640.0,1.433127424220658,4
American Homes 4 Rent,AMH,Real Estate,33.546295,2380632.0,15272285184.0,1.3071338383838382,0
"Ameriprise Financial, Inc.",AMP,Financial Services,13.673025,582908.0,43271520256.0,1.5089179239902524,4
Amplify Energy Corp.,AMPY,Energy,7.806452,557727.0,97605624.0,3.590308370044053,0
"Alpha Metallurgical Resources, Inc.",AMR,Basic Materials,8.386984,317218.0,1564366080.0,3.4760000000000004,0
"Ameresco, Inc.",AMRC,Industrials,8.070093,734850.0,453693280.0,4.643651258045641,0
American Tower Corporation,AMT,Real Estate,31.60435,2899765.0,102083000000.0,1.4288396104657983,2
"América Móvil, S.A.B. de C.V.",AMX,Communication Services,35.076088,2094231.0,48992317440.0,1.5503816793893128,0
"AutoNation, Inc.",AN,Consumer Cyclical,9.62404,538816.0,6394710016.0,1.3382323198274118,0
Arista Networks Inc,ANET,Technology,30.1861,12329637.0,84522729472.0,2.247602221100454,2
Abercrombie & Fitch Co.,ANF,Consumer Cyclical,6.652479,2530822.0,3475325952.0,3.012079510703364,0
Abrdn Total Dynamic Dividend Fund,AOD,Financial Services,4.0466323,486149.0,823416128.0,1.30758226037196,4
"Angel Oak Mortgage REIT, Inc.",AOMR,Real Estate,6.8307695,143588.0,187813600.0,1.809103260869565,0
Aon plc,AON,Financial Services,28.506006,1288755.0,76904996864.0,1.540587928075804,2
A. O. Smith Corporation,AOS,Industrials,17.05785,1542795.0,8887314432.0,1.5714771375148735,0
Ampco-Pittsburgh Corporation,AP,Industrials,95.0,31734.0,38179740.0,3.77027027027027,0
Artisan Partners Asset Management Inc.,APAM,Financial Services,9.346558,583075.0,2394790144.0,1.5126717557251907,4
"Air Products and Chemicals, Inc.",APD,Basic Materials,14.841633,1466742.0,57023934464.0,1.4909313404134434,0
Amphenol Corporation,APH,Technology,32.958332,8773698.0,76681437184.0,1.4495161584809202,2
"Apple Hospitality REIT, Inc.",APLE,Real Estate,13.095506,2736867.0,2783889920.0,1.5804597701149425,0
"Apollo Global Management, Inc.",APO,Financial Services,16.398363,4318516.0,68571693056.0,1.9923246766901483,2
Aptiv PLC,APTV,Consumer Cyclical,7.2457037,3883852.0,11570984960.0,1.813095994914177,0
Algonquin Power & Utilities Corp.,AQN,Utilities,76.0,11652270.0,4082844928.0,1.620525059665871,0
Antero Resources Corporation,AR,Energy,177.44444,5169626.0,9939089408.0,1.7378719934773748,0
Arcos Dorados Holdings Inc.,ARCO,Consumer Cyclical,10.279437,1655013.0,1537502848.0,1.7252252252252251,0
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,Financial Services,7.9036145,121529.0,308871040.0,1.3559027777777777,4
"Ardent Health Partners, Inc.",ARDT,Healthcare,7.2721515,482380.0,1640197504.0,1.8033072236727588,0
"Alexandria Real Estate Equities, Inc.",ARE,Real Estate,41.92778,1504542.0,13055479808.0,1.8183596478971635,0
Ares Management Corporation,ARES,Financial Services,66.70936,1989767.0,44226273280.0,1.812211877429269,4
"Aris Water Solutions, Inc.",ARIS,Utilities,30.17284,905263.0,1444865920.0,2.5442146282973623,0
Aramark,ARMK,Industrials,24.665356,2177908.0,8304414208.0,1.4248826291079812,0
"Archrock, Inc.",AROC,Energy,21.866667,1508244.0,4029893120.0,1.762594093804285,0
"Arrow Electronics, Inc.",ARW,Technology,13.932785,618260.0,5268161536.0,1.593063583815029,0
"Amer Sports, Inc.",AS,Consumer Cyclical,152.7857,3871008.0,11860797440.0,3.3630069238377844,0
ASA Gold and Precious Metals Limited,ASA,Financial Services,5.1808333,68162.0,591090560.0,1.9655384615384617,4
Associated Banc-Corp,ASB,Financial Services,27.624998,1714463.0,3294559744.0,1.5382096069868996,4
Ardmore Shipping Corporation,ASC,Industrials,2.9869282,729147.0,370200160.0,2.8173076923076925,0
"Liberty All-Star Growth Fund, Inc.",ASG,Financial Services,5.4323173,328034.0,272027424.0,1.516209476309227,4
Abrdn Global Infrastructure Income Fund,ASGI,,4.5775,160521.0,529968288.0,1.2222222222222223,0
ASGN Incorporated,ASGN,Technology,14.791123,538811.0,2495902720.0,1.8886505808757819,0
AdvanSix Inc.,ASIX,Basic Materials,12.219136,166559.0,529399456.0,1.789587852494577,0
"Aspen Aerogels, Inc.",ASPN,Industrials,29.85294,2016398.0,416681856.0,6.90625,0
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",ASR,Industrials,12.777331,53637.0,8476007424.0,1.4380424300867887,0
"ASE Technology Holding Co., Ltd.",ASX,Technology,18.012728,11875734.0,17212581888.0,1.8530259365994235,0
"A10 Networks, Inc.",ATEN,Technology,22.850895,1192960.0,1132221696.0,1.784841075794621,0
Adtalem Global Education Inc.,ATGE,Consumer Defensive,19.493332,476918.0,3813679616.0,2.4348202685145086,0
Autohome Inc.,ATHM,Communication Services,14.833334,547770.0,3162454784.0,1.585198720877113,0
ATI Inc.,ATI,Industrials,17.505882,2269647.0,6296962560.0,1.7568187611521797,0
Atkore Inc.,ATKR,Industrials,5.4177094,746983.0,1936302848.0,3.7143429487179485,0
Atmus Filtration Technologies Inc.,ATMU,Industrials,14.389639,917773.0,2640698368.0,1.6448225923244026,0
Atmos Energy Corporation,ATO,Utilities,22.266476,989772.0,24669505536.0,1.4346219699017753,0
"AptarGroup, Inc.",ATR,Healthcare,25.944746,391250.0,9447334912.0,1.3605655330531143,0
ATS Corporation,ATS,Industrials,36.617188,139055.0,2295209728.0,1.6947368421052633,0
AngloGold Ashanti plc,AU,Basic Materials,18.843348,2901532.0,22107922432.0,2.1662817551963047,0
Atlantic Union Bankshares Corporation,AUB,Financial Services,10.866072,1527668.0,3492473856.0,1.949234135667396,4
,AUNA,Healthcare,15.581394,32440.0,495887072.0,1.6029173419773097,0
Avista Corporation,AVA,Utilities,18.086245,819093.0,3325381888.0,1.2881913303437966,0
Grupo Aval Acciones y Valores S.A.,AVAL,Financial Services,13.400001,167829.0,3043488256.0,1.711340206185567,4
"AvalonBay Communities, Inc.",AVB,Real Estate,26.3364,807111.0,28533594112.0,1.326441241685144,0
Advent Convertible and Income Fund,AVK,Financial Services,3.9080882,156173.0,469300672.0,1.3302564102564103,4
Avient Corporation,AVNT,Basic Materials,16.657608,715004.0,2805477376.0,1.9626704953338119,0
"Avantor, Inc.",AVTR,Healthcare,14.302885,8235886.0,10136152064.0,2.0285445193073968,0
Avery Dennison Corporation,AVY,Consumer Cyclical,19.20676,827503.0,13240624128.0,1.4871337579617834,0
AllianceBernstein Global High Income Fund,AWF,Financial Services,5.748572,250711.0,867470784.0,1.221505376344086,4
"Armstrong World Industries, Inc.",AWI,Industrials,21.5897,335145.0,5649055232.0,1.4853632092518974,0
"American Water Works Company, Inc.",AWK,Utilities,27.28757,1659859.0,28682219520.0,1.321492308999745,0
abrdn Global Premier Properties Fund,AWP,Financial Services,3.3558557,314498.0,321950240.0,1.4311926605504586,4
American States Water Company,AWR,Utilities,25.277601,236818.0,3085686016.0,1.2818634632288308,0
"Axos Financial, Inc.",AX,Financial Services,8.018919,453459.0,3388225024.0,2.005895691609977,4
"American Axle & Manufacturing Holdings, Inc.",AXL,Consumer Cyclical,11.327587,2753488.0,388723904.0,2.66,0
American Express Company,AXP,Financial Services,16.838688,3407278.0,169032000000.0,1.4801524293426482,2
AMREP Corporation,AXR,Real Estate,9.3361,17373.0,118967624.0,2.498110831234257,0
AXIS Capital Holdings Limited,AXS,Financial Services,7.453441,767109.0,7239806464.0,1.6724934036939314,4
Axalta Coating Systems Ltd.,AXTA,Basic Materials,17.202248,2209122.0,6679539200.0,1.5037906137184116,0
Acuity Inc.,AYI,Industrials,17.347612,383211.0,7071504896.0,1.5926387159263873,0
The AZEK Company Inc.,AZEK,Industrials,46.939396,3590575.0,6684616704.0,1.5476324689966179,0
"AutoZone, Inc.",AZO,Consumer Cyclical,23.918262,138029.0,59546079232.0,1.435270450023269,0
AZZ Inc.,AZZ,Industrials,46.189346,266690.0,2332604416.0,1.429659433826699,0
Alibaba Group Holding Limited,BABA,Consumer Cyclical,16.122221,33542683.0,267336000000.0,2.1474247685185186,5
Bank of America Corporation,BAC,Financial Services,10.9805975,47277242.0,278098000000.0,1.45388569700635,5
Booz Allen Hamilton Holding Corporation,BAH,Industrials,16.65,2852783.0,13837952000.0,1.8860959920831273,0
Ball Corporation,BALL,Consumer Cyclical,34.42336,2815055.0,13316994048.0,1.6391634107101816,0
Brookfield Asset Management Ltd.,BAM,Financial Services,37.242188,2062722.0,78050082816.0,1.6790024135156878,2
"Banc of California, Inc.",BANC,Financial Services,24.826923,2757419.0,2182861568.0,1.5694444444444444,4
Credicorp Ltd.,BAP,Financial Services,10.157112,314834.0,14636026880.0,1.304886801070007,4
Banco BBVA Argentina S.A.,BBAR,Financial Services,13.496598,740418.0,4173145600.0,3.547517730496454,4
Banco Bradesco S.A.,BBD,Financial Services,8.5,44308439.0,21708587008.0,1.6086956521739129,5
"Barings BDC, Inc.",BBDC,Financial Services,8.168269,606139.0,895449472.0,1.41644908616188,4
Banco Bradesco S.A.,BBDO,Financial Services,7.769231,65509.0,21383315456.0,1.5438596491228072,4
BlackRock Taxable Municipal Bond Trust,BBN,Financial Services,82.68421,150391.0,970760192.0,1.1984385165907614,4
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,Financial Services,7.024316,2843883.0,77061226496.0,1.607800650054171,2
"Build-A-Bear Workshop, Inc.",BBW,Consumer Cyclical,8.747369,287468.0,446742304.0,2.041049513330512,0
"Bath & Body Works, Inc.",BBWI,Consumer Cyclical,7.595568,5656944.0,5874077184.0,2.1229967948717947,0
"Best Buy Co., Inc.",BBY,Consumer Cyclical,14.252336,3967452.0,12893570048.0,1.8859792689579922,0
Brunswick Corporation,BC,Consumer Cyclical,19.418552,1023832.0,2828411904.0,2.137804878048781,0
BlackRock Capital Allocation Term Trust,BCAT,,7.4398904,523613.0,1426511616.0,1.3307513555383423,0
Boise Cascade Company,BCC,Basic Materials,9.446186,384575.0,3426711552.0,1.7693533697632056,0
BCE Inc.,BCE,Communication Services,170.4231,3307611.0,20423034880.0,1.7835305719921104,0
Banco de Chile,BCH,Financial Services,11.467479,298016.0,14248446976.0,1.3161764705882353,4
The Brink's Company,BCO,Industrials,24.146814,314373.0,3765874688.0,1.4450816606408179,0
Barclays PLC,BCS,Financial Services,7.874728,20442336.0,51729833984.0,1.7382978723404254,5
"Bain Capital Specialty Finance, Inc.",BCSF,Financial Services,7.821622,355619.0,934973248.0,1.4553030303030305,4
Belden Inc.,BDC,Technology,19.11354,315900.0,3647533568.0,1.6270056776104664,0
BlackRock Enhanced Equity Dividend Trust,BDJ,Financial Services,8.908751,459329.0,1387195648.0,1.2667597765363128,4
"Becton, Dickinson and Company",BDX,Healthcare,32.889732,2181142.0,56096133120.0,1.3054447495208,0
KE Holdings Inc.,BEKE,Real Estate,40.79787,10887265.0,24312555520.0,2.070349761526232,0
"Franklin Resources, Inc.",BEN,Financial Services,27.023438,4706744.0,9086758912.0,1.580923076923077,4
Brookfield Renewable Corporation,BEPC,Utilities,20.293512,1181314.0,4763596800.0,1.5786163522012577,0
"Berry Global Group, Inc.",BERY,Consumer Cyclical,14.768805,1886755.0,7730228736.0,1.4519999029913857,0
Bright Horizons Family Solutions Inc.,BFAM,Consumer Cyclical,47.366665,463801.0,6520025600.0,1.4106770056665672,0
"Bread Financial Holdings, Inc.",BFH,Financial Services,8.216607,1023739.0,2191419392.0,1.9865991661703395,4
BlackRock Municipal Income Trust,BFK,Financial Services,46.649998,105024.0,409165280.0,1.214043035107588,4
"Saul Centers, Inc.",BFS,Real Estate,20.110428,51852.0,1121492224.0,1.341880341880342,0
BlackRock California Municipal Income Trust,BFZ,Financial Services,79.61539,90204.0,311158272.0,1.2025565388397248,4
Bunge Global SA,BG,Consumer Defensive,9.86358,1814226.0,10558017536.0,1.7050445103857566,0
Blackstone Strategic Credit 2027 Term Fund,BGB,Financial Services,9.176001,196519.0,512300672.0,1.2120343839541545,4
Barings Global Short Duration High Yield Fund,BGH,Financial Services,6.576191,84350.0,277088000.0,1.305111821086262,4
BlackRock Energy and Resources Trust,BGR,Financial Services,24.999792,104590.0,313304192.0,1.2581227436823104,4
BlackRock Floating Rate Income Trust,BGT,Financial Services,10.503062,136149.0,297539840.0,1.3682664054848188,4
Blackstone Long-Short Credit Income Fund,BGX,Financial Services,9.100853,75301.0,149196704.0,1.2362278244631184,4
BlackRock Enhanced International Dividend Trust,BGY,Financial Services,47.63636,362701.0,486994592.0,1.2633832976445396,4
"Benchmark Electronics, Inc.",BHE,Technology,20.238373,428522.0,1256487936.0,1.7808265582655827,0
BlackRock Core Bond Trust,BHK,Financial Services,55.777775,130744.0,543368832.0,1.2359550561797754,4
"Berkshire Hills Bancorp, Inc.",BHLB,Financial Services,16.335665,529844.0,1083397120.0,1.5587668593448938,4
BHP Group Limited,BHP,Basic Materials,10.472098,3087329.0,119041000000.0,1.5909891769443747,2
BlackRock Virginia Municipal Bond Trust,BHV,Financial Services,56.666664,3626.0,16201272.0,1.1529411764705884,4
"BILL Holdings, Inc.",BILL,Technology,101.974365,3179490.0,4054432256.0,2.7411764705882353,0
Brookfield Infrastructure Partners L.P.,BIP,Utilities,690.875,635101.0,12818466816.0,1.4191290824261276,0
Birkenstock Holding plc,BIRK,Consumer Cyclical,34.87121,1848822.0,8645768192.0,1.5971794176385021,0
BlackRock Multi-Sector Income Trust,BIT,Financial Services,11.139098,191642.0,547957056.0,1.24,4
"BJ's Wholesale Club Holdings, Inc.",BJ,Consumer Defensive,28.53,1992916.0,15026979840.0,1.6586768935762222,0
The Bank of New York Mellon Corporation,BK,Financial Services,12.123165,4455873.0,53167476736.0,1.6109129814550642,4
"The Buckle, Inc.",BKE,Consumer Cyclical,8.6221075,606337.0,1715876224.0,1.6379830917874398,0
Black Hills Corporation,BKH,Utilities,15.29156,502027.0,4310051840.0,1.269647696476965,0
BlackRock Investment Quality Municipal Trust Inc.,BKN,Financial Services,49.476192,56695.0,178768272.0,1.2876712328767124,4
"BlackRock Income Trust, Inc.",BKT,Financial Services,81.0,75226.0,241629328.0,1.1455696202531644,4
"BankUnited, Inc.",BKU,Financial Services,9.931818,841336.0,2301652736.0,1.6654177594604722,4
TopBuild Corp.,BLD,Industrials,13.634303,359391.0,8090420224.0,1.8616389994741982,0
"Builders FirstSource, Inc.",BLDR,Industrials,12.599381,1751440.0,12983809024.0,1.8327318657524359,0
BlackRock Municipal Income Trust II,BLE,Financial Services,40.125,103629.0,459611968.0,1.1935146443514644,4
"BlackRock, Inc.",BLK,Financial Services,20.77624,961419.0,132567000000.0,1.449453223175851,2
BlackRock Limited Duration Income Trust,BLW,Financial Services,10.587302,128245.0,504913664.0,1.172275641025641,4
"Banco Latinoamericano de Comercio Exterior, S. A.",BLX,Financial Services,6.644643,132245.0,1368985600.0,1.566678845451224,4
Banco Macro S.A.,BMA,Financial Services,12.99343,367878.0,5702683648.0,2.804167653327019,4
BlackRock Health Sciences Trust,BME,Financial Services,21.76687,42467.0,458547072.0,1.2475131655939147,4
BlackRock Health Sciences Term Trust,BMEZ,,64.71381,380649.0,1376045312.0,1.3314785373608904,0
"Badger Meter, Inc.",BMI,Technology,44.229076,263885.0,5905709056.0,1.4744404020472346,0
Blackrock 2037 Municipal Target Term Trust,BMN,Financial Services,36.46154,12614.0,145699312.0,1.1345486111111112,4
Bank of Montreal,BMO,Financial Services,12.139474,677450.0,67126902784.0,1.376981034034814,4
Brookfield Corporation,BN,Financial Services,154.54839,3240796.0,71794573312.0,1.6142967343790178,2
"Broadstone Net Lease, Inc.",BNL,Real Estate,18.447674,1412508.0,3136462848.0,1.3717765042979941,0
The Bank of Nova Scotia,BNS,Financial Services,13.6210375,1960022.0,58869972992.0,1.306547619047619,4
Brookfield Wealth Solutions Ltd.,BNT,Financial Services,5.5120835,17904.0,9640306688.0,1.611096840482918,4
BlackRock Enhanced Global Dividend Trust,BOE,Financial Services,9.803922,167254.0,570257984.0,1.252183406113537,4
Bank of Hawaii Corporation,BOH,Financial Services,18.933527,491316.0,2606439936.0,1.5174311926605506,4
"Boot Barn Holdings, Inc.",BOOT,Consumer Cyclical,15.562501,1049239.0,2666180096.0,2.045628257093225,0
Borr Drilling Limited,BORR,Energy,5.640625,6091011.0,431952704.0,4.481481481481481,0
Bowhead Specialty Holdings Inc.,BOW,Financial Services,30.279072,248134.0,1275805056.0,1.9101174345076783,4
"Box, Inc.",BOX,Technology,21.610294,1744863.0,4225958400.0,1.4510759236703208,0
BP p.l.c.,BP,Energy,198.46428,12874880.0,73118449664.0,1.5753370340999207,2
"Broadridge Financial Solutions, Inc.",BR,Technology,35.72615,548806.0,26714279936.0,1.311789697291556,0
"BellRing Brands, Inc.",BRBR,Consumer Defensive,34.438683,1373486.0,9365942272.0,1.6785268414481898,0
Brady Corporation,BRC,Industrials,16.477612,273806.0,3164960256.0,1.3319615912208507,0
Bridge Investment Group Holdings Inc.,BRDG,Financial Services,64.76923,422383.0,1042774912.0,1.7984615384615383,4
BRF S.A.,BRFS,Consumer Defensive,10.666666,2064686.0,5631296000.0,1.62876254180602,0
"Brown & Brown, Inc.",BRO,Financial Services,32.765896,1806273.0,32495017984.0,1.5540991715098307,4
Dutch Bros Inc.,BROS,Consumer Cyclical,164.79411,3436854.0,9140005888.0,3.2357541899441338,0
Saba Capital Income & Opportunities Fund,BRW,Financial Services,8.136364,179391.0,304511200.0,1.17201166180758,4
Brixmor Property Group Inc.,BRX,Real Estate,22.63063,2480047.0,7687725056.0,1.4385553470919326,0
Banco Santander-Chile,BSAC,Financial Services,10.909502,359213.0,11358582784.0,1.384485666104553,4
Banco Santander (Brasil) S.A.,BSBR,Financial Services,16.172415,670372.0,34985758720.0,1.6026666666666667,4
Blackstone Senior Floating Rate 2027 Term Fund,BSL,Financial Services,9.653847,58273.0,179612720.0,1.1017074981440238,4
"Black Stone Minerals, L.P.",BSM,Energy,12.521739,453822.0,3040387072.0,1.3218750000000001,0
BlackRock Science and Technology Trust,BST,Financial Services,3.8587785,159403.0,1053057600.0,1.420472892971189,4
BlackRock Science and Technology Term Trust,BSTZ,Financial Services,2.0731552,280513.0,1148908288.0,1.4638633377135348,4
Boston Scientific Corporation,BSX,Healthcare,74.792,8352034.0,138278000000.0,1.6043413173652696,2
BlackRock Long-Term Municipal Advantage Trust,BTA,Financial Services,15.250001,36162.0,118875920.0,1.2671232876712328,4
Baytex Energy Corp.,BTE,Energy,7.905238,41120503.0,1283499648.0,2.911764705882353,5
British American Tobacco p.l.c.,BTI,Consumer Defensive,23.508333,5186306.0,92831907840.0,1.4702442380460956,2
John Hancock Financial Opportunities Fund,BTO,Financial Services,4.2114844,48155.0,594357568.0,1.5102272727272728,4
Blackrock Municipal 2030 Target Term Trust,BTT,Financial Services,34.466667,148995.0,1356856192.0,1.0806930693069305,4
Peabody Energy Corporation,BTU,Energy,4.514652,5014857.0,1498313216.0,3.115504682622269,0
BlackRock Innovation and Growth Term Trust,BTX,,33.47059,813368.0,1213893248.0,1.6290196078431374,0
BlackRock Credit Allocation Income Trust,BTZ,Financial Services,14.782608,290567.0,951909824.0,1.1844863731656186,4
Anheuser-Busch InBev SA/NV,BUD,Consumer Defensive,22.842659,2560821.0,127573000000.0,1.4690901175446234,2
"BlackRock Utilities, Infrastructure & Power Opportunities Trust",BUI,Financial Services,13.965408,56826.0,500762720.0,1.2303897385298472,4
Burford Capital Limited,BUR,Financial Services,20.439392,1048637.0,2960002816.0,1.4655326768128918,4
"Burlington Stores, Inc.",BURL,Consumer Cyclical,27.711168,1292114.0,13597607936.0,1.7114635822262942,0
"BrightView Holdings, Inc.",BV,Industrials,48.0,655942.0,1237680000.0,1.7157129881925524,0
Compañía de Minas Buenaventura S.A.A.,BVN,Basic Materials,10.027586,1115045.0,3690586624.0,1.6382608695652174,0
BorgWarner Inc.,BWA,Consumer Cyclical,16.067486,3690378.0,5753576448.0,1.5668032786885246,0
Legg Mason BW Global Income Opportunities Fund Inc.,BWG,Financial Services,4.448531,76355.0,132216952.0,1.1997319034852545,4
BW LPG Limited,BWLP,Industrials,2.6229053,475527.0,1421110912.0,2.838295165394402,0
"Betterware de México, S.A.P.I. de C.V.",BWMX,Consumer Cyclical,10.857895,20980.0,384919680.0,2.0327476038338657,0
"BWX Technologies, Inc.",BWXT,Industrials,32.73127,1087981.0,9183797248.0,1.6186913668210428,0
Blackstone Inc.,BX,Financial Services,36.59394,5067639.0,147510000000.0,1.7375064845236037,2
BlueLinx Holdings Inc.,BXC,Industrials,11.315024,87127.0,572958720.0,1.9992583803025807,0
Nuveen S&P 500 Buy-Write Income Fund,BXMX,Financial Services,5.4459457,215093.0,1259354880.0,1.2746666666666666,4
